nome,status flora brasil,nome flora brasil,status plantlist,plantlist,flora brasil x plantlist
Bacopa serpylloides (Cham. And Schltdl.) Angely,sinonimo,Mecardonia serpylloides (Cham. & Schltdl.) Pennell,Não resolvido,Bacopa serpylloides (Cham. & Schltdl.) Angely,diferente
Bacopa stricta (Schrad.) Edwall,,Bacopa stricta (Schrad.) Wettst. ex Edwall,,Bacopa stricta (Schrad.) Wettst. ex Edwall,
Bcopa reflexa (Benth.) Edwal,nao_encontrado,,nao_encontrado,,
Callitriche deflexa  A. Braun ex Hegelm. ,,Callitriche deflexa A.Braun ex Hegelm.,,Callitriche deflexa A.Braun ex Hegelm.,
Callitriche rimosa Fassett ,,Callitriche rimosa Fassett,,Callitriche rimosa Fassett,
Conobea aquatica Aubl. ,,Conobea aquatica Aubl.,,Conobea aquatica Aubl.,
Gratiola peruviana L. ,,Gratiola peruviana L.,,Gratiola peruviana L.,
Mecardonia procumbens (Mill.) Small ,,Mecardonia procumbens (Mill.) Small,,Mecardonia procumbens (Mill.) Small,
Mecardonia serpylloides (Cham. & Schltdl.) Pennell,,Mecardonia serpylloides (Cham. & Schltdl.) Pennell,,Mecardonia serpylloides (Cham. & Schltdl.) Pennell,
Micranthemum umbrosum (J.F. Gmel.) S.F. Blake,,Micranthemum umbrosum (Walter ex J.F.Gmel.) S.F.Blake,,Micranthemum umbrosum (J.F.Gmel.) S.F.Blake,diferente
Plantago australis Lam.,,Plantago australis Lam.,,Plantago australis Lam.,
Scoparia dulcis L.,,Scoparia dulcis L.,,Scoparia dulcis L.,
Scoparia montevidensis (Kuntze) R.E. Fr.,,Scoparia montevidensis (Spreng.) R.E.Fr.,,Scoparia montevidensis (Spreng.) R.E. Fr.,diferente
Stemodia durantifolia (L.) Sw.,,Stemodia durantifolia (L.) Sw.,,Stemodia durantifolia (L.) Sw.,
Stemodia maritima L. ,,Stemodia maritima L.,,Stemodia maritima L.,
Stemodia pratensis (Aubl.) C.C. Cowan,nao_encontrato,,,Stemodia pratensis (Aubl.) C.P.Cowan,
Limonium brasiliense (Boiss.) O. Kze.,,Limonium brasiliense (Boiss.) Kuntze,,Limonium brasiliense (Boiss.) Kuntze,
Acroceras zizanioides (Kunth) Dandy,,Acroceras zizanioides (Kunth) Dandy,,Acroceras zizanioides (Kunth) Dandy,
Agrostis palustris Huds.,nao_encontrado,,sinonimo,Agrostis stolonifera L.,
Andropogon bicornis L.,,Andropogon bicornis L.,,Andropogon bicornis L.,
Andropogon leucostachyus Kunth,,Andropogon leucostachyus Kunth,,Andropogon leucostachyus Kunth,
Andropogon selloanus (Hack.) Hack. ,,Andropogon selloanus (Hack.) Hack.,,Andropogon selloanus (Hack.) Hack.,
Andropogon virgatus Desv.,,Andropogon virgatus Desv.,,Andropogon virgatus Desv. ex Ham.,diferente
Anthephora hermaphrodita (L.) Kuntze,,Anthephora hermaphrodita (L.) Kuntze,,Anthephora hermaphrodita (L.) Kuntze,
Axonopus brasiliensis (Spreng.) Kuhlm.,,Axonopus brasiliensis (Spreng.) Kuhlm.,,Axonopus brasiliensis (Spreng.) Kuhlm.,
Axonopus leptostachyus (Flüggé) Hitchc. ,,Axonopus leptostachyus (Flüggé) Hitchc.,,Axonopus leptostachyus (Flüggé) Hitchc.,
Axonopus purpusii (Mez) Chase ,,Axonopus purpusii (Mez) Chase,,Axonopus purpusii (Mez) Chase,
Bambusa trinii Nees,sinonimo,Guadua trinii (Nees) Nees ex Rupr.,sinonimo,Guadua trinii (Nees) Rupr.,diferente
Brachiaria brizantha (Hochst. Ex A. Rich.) Stapf,sinonimo,Urochloa brizantha (Hochst. ex A. Rich.) R.D.Webster,,Brachiaria brizantha (A.Rich.) Stapf,diferente
Brachiaria decumbens (Stapf) R.D. Webster,sinonimo,Urochloa decumbens (Stapf) R.D.Webster,,Brachiaria decumbens Stapf,diferente
Brachiaria mutica (Forssk.) Stapf ,sinonimo,Urochloa mutica (Forssk.) T.Q.Nguyen,,Brachiaria mutica (Forssk.) Stapf,diferente
Brachiaria plantaginea (Link) Hitchc. ,sinonimo,Urochloa plantaginea (Link) R.D.Webster,,Brachiaria plantaginea (Link) Hitchc.,diferente
Cenchrus echinatus L. ,,Cenchrus echinatus L.,,Cenchrus echinatus L.,
Cenchrus purpureus (Schumach.) Morrone ,,Cenchrus purpureus (Schumach.) Morrone,Não resolvido,Cenchrus purpureus (Schumach.) Morrone,
Chloris barbata Sw. ,,Chloris barbata Sw.,,Chloris barbata Sw.,
Chloris exilis Renvoize,,Chloris exilis Renvoize,,Chloris exilis Renvoize,
Coix lacryma-jobi L. ,,Coix lacryma-jobi L.,,Coix lacryma-jobi L.,
Cynodon dactylon (L.) Pers. ,,Cynodon dactylon (L.) Pers.,,Cynodon dactylon (L.) Pers.,
Dactyloctenium aegyptium (L.) Willd ,,Dactyloctenium aegyptium (L.) Willd.,,Dactyloctenium aegyptium (L.) Willd.,
Digitaria ciliaris (Retz.) Koeler ,,Digitaria ciliaris (Retz.) Koeler,,Digitaria ciliaris (Retz.) Koeler,
Digitaria horizontalis Willd. ,,Digitaria horizontalis Willd.,,Digitaria horizontalis Willd.,
Digitaria violascens Link ,,Digitaria violascens Link,,Digitaria violascens Link,
Dinebra scabra (Nees) P.M. Peterson & N. Snow ,,Dinebra scabra (Nees) P.M. Peterson & N. Snow,nao_encontrado,,diferente
Echinochloa crusgalli (L.) P.Beauv.,,Echinochloa crusgalli (L.) P.Beauv.,sinonimo,Echinochloa crus-galli (L.) P.Beauv.,diferente
Echinochloa crus-pavonis (Kunth) Schult.,,Echinochloa crus-pavonis (Kunth) Schult.,,Echinochloa crus-pavonis (Kunth) Schult.,
Echinochloa polystachya (Kunth) Hitchc.,,Echinochloa polystachya (Kunth) Hitchc.,,Echinochloa polystachya (Kunth) Hitchc.,
Echinochloa colona (L.) Link,,Echinochloa colona (L.) Link,,Echinochloa colona (L.) Link,
Eleusine indica (L.) Gaertn. ,,Eleusine indica (L.) Gaertn.,,Eleusine indica (L.) Gaertn.,
Eragrostis acutiflora (Kunth) Nees ,,Eragrostis acutiflora (Kunth) Nees,,Eragrostis acutiflora (Kunth) Nees,
Eragrostis bahiensis (Schrad. ex Schult.) Schult.,,Eragrostis bahiensis Schrad. ex Schult.,,Eragrostis bahiensis Roem. & Schult.,diferente
Eragrostis ciliaris (L.) R.Br.,,Eragrostis ciliaris (L.) R.Br.,,Eragrostis ciliaris (L.) R.Br.,
"Eragrostis hypnoides (Lam.) Britton, Sterns & Poggenb. ",,"Eragrostis hypnoides (Lam.) Britton, Sterns & Poggenb.",,"Eragrostis hypnoides (Lam.) Britton, Stern & Poggenb.",diferente
Eragrostis japonica (Thunb.) Trin. ,,Eragrostis japonica (Thunb.) Trin.,,Eragrostis japonica (Thunb.) Trin.,
Eragrostis pilosa (L.) P. Beauv.,,Eragrostis pilosa (L.) P.Beauv.,,Eragrostis pilosa (L.) P.Beauv.,
Eragrostis tenella (L.) P. Beauv. ex Roem. & Schult. ,,Eragrostis tenella (L.) P.Beauv. ex Roem. & Schult.,sinonimo,Eragrostis amabilis (L.) Wight & Arn.,diferente
Eriochloa distachya Kunth ,,Eriochloa distachya Kunth,,Eriochloa distachya Kunth,
Eriochloa punctata (L.) Desv. ,,Eriochloa punctata (L.) Desv. ex Ham.,,Eriochloa punctata (L.) Ham.,diferente
Eriochrysis cayennensis P.Beauv.,,Eriochrysis cayennensis P. Beauv.,,Eriochrysis cayennensis P.Beauv.,diferente
Gynerium sagittatum (Aubl.) P. Beauv. ,,Gynerium sagittatum (Aubl.) P.Beauv.,,Gynerium sagittatum (Aubl.) P.Beauv.,
Heleochloa schoenoides (L.) Host,nao_encontrado,,sinonimo,Crypsis schoenoides (L.) Lam.,
Homolepis aturensis (Kunth) Chase ,,Homolepis aturensis (Kunth) Chase,,Homolepis aturensis (Kunth) Chase,
Homolepis isocalycia (G. Mey.) Chase,,Homolepis isocalycia (G.Mey.) Chase,nao_encontrado,,diferente
Hymenachne donacifolia (Raddi) Chase ,,Hymenachne donacifolia (Raddi) Chase,,Hymenachne donacifolia (Raddi) Chase,
Hymenachne amplexicaulis (Rudge) Nees,,Hymenachne amplexicaulis (Rudge) Nees,,Hymenachne amplexicaulis (Rudge) Nees,
Hypoginum virgatum (Desv) Dandy ,nao_encontrado,,nao_encontrado,,
Imperata brasiliensis Trin. ,,Imperata brasiliensis Trin.,,Imperata brasiliensis Trin.,
Imperata tenuis Hack.,,Imperata tenuis Hack.,,Imperata tenuis Hack.,
Isachne polygonoides (Lam.) Döll ,,Isachne polygonoides (Lam.) Döll,,Isachne polygonoides (Lam.) Döll,
Ischaemum guianense Kunth ex Hack. ,,Ischaemum guianense Kunth ex Hack.,,Ischaemum guianense Hack.,diferente
Ischaemum minus J.Presl ,,Ischaemum minus J.Presl,,Ischaemum minus J.Presl,
Lasiacis procerrima (Hack.) Hitchc. ,,Lasiacis procerrima (Hack.) Hitchc.,,Lasiacis procerrima (Hack.) Hitchc. ex Chase,diferente
Leersia hexandra Sw.,,Leersia hexandra Sw.,,Leersia hexandra Sw.,
Leptochloa fascicularis (Lam.) A. Gray ,nao_encontrado,,sinonimo,Leptochloa fusca subsp. fascicularis (Lam.) N.Snow,
Leptochloa virgata (L.) P.Beauv.,,Leptochloa virgata (L.) P.Beauv.,,Leptochloa virgata (L.) P.Beauv.,
Leptocoryphium lanatum (HBK) Nees,sinonimo,Anthaenantia lanata (Kunth) Benth.,,Leptocoryphium lanatum (Kunth) Nees,diferente
Luziola bahiensis (Steud.) Hitchc.,,Luziola bahiensis (Steud.) Hitchc.,,Luziola bahiensis (Steud.) Hitchc.,
Luziola brasiliana Moric.,sinonimo,Luziola peruviana Juss. ex J.F.Gmel.,,Luziola brasiliana Moric.,diferente
Luziola fragilis Swallen,,Luziola fragilis Swallen,,Luziola fragilis Swallen,
Luziola peruviana Juss. ex J.F. Gurel ,,Luziola peruviana Juss. ex J.F.Gmel.,,Luziola peruviana J.F.Gmel.,diferente
Luziola spruceana Benth. ex Döll ,,Luziola spruceana Benth. ex Döll,,Luziola spruceana Benth. ex Döll,
Luziola subintegra Swallen ,,Luziola subintegra Swallen,,Luziola subintegra Swallen,
Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs,,Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs,sinonimo,Panicum maximum Jacq.,diferente
Mesosetum loliiforme (Hochst. ex Steud.) Chase ,,Mesosetum loliiforme (Hochst.) Chase,,Mesosetum loliiforme (Steud.) Hitchc.,diferente
Olyra ecaudata Döll ,,Olyra ecaudata Döll,,Olyra ecaudata Döll,
Olyra longifolia Kunth ,,Olyra longifolia Kunth,,Olyra longifolia Kunth,
Oryza glumaepatula Steud. ,,Oryza glumaepatula Steud.,nao_encontrado,,diferente
Oryza grandiglumis (Döll) Prod. ,,Oryza grandiglumis (Döll) Prod.,,Oryza grandiglumis (Döll) Prodoehl,diferente
Oryza latifolia Desv. ,,Oryza latifolia Desv.,,Oryza latifolia Desv.,
Oryza sativa L.,,Oryza sativa L.,,Oryza sativa L.,
Otachyrium succisum (Swallen) Send. & Soderstr. ,,Otachyrium succisum (Swallen) Send. & Soderstr.,,Otachyrium succisum (Swallen) Send. & Soderstr.,
Otachyrium versicolor (Döll) Henrard,,Otachyrium versicolor (Döll) Henrard,,Otachyrium versicolor (Döll) Henrard,
Panicum aquaticum Poir.,,Panicum aquaticum Poir.,,Panicum aquaticum Poir.,
Panicum boliviense Hack.,nao_encontrato,,sinonimo,Panicum polygonatum Schrad.,
Panicum dichotomiflorum Michx. ,,Panicum dichotomiflorum Michx.,,Panicum dichotomiflorum Michx.,
Panicum elephantipes Nees ex Trin. ,sinonimo,Louisiella elephantipes (Nees ex Trin.) Zuloaga,,Panicum elephantipes Nees ex Trin.,diferente
Panicum grande Hitchc. & Chase ,sinonimo,Aconisia grandis (Hitchc. & Chase) J.R. Grande,,Panicum grande Hitchc. & Chase,diferente
Panicum grumosum Nees,sinonimo,Hymenachne grumosa (Nees) Zuloaga,sinonimo,Hymenachne grumosa (Nees) Zuloaga,
Panicum helobium Wez ex Henrad,sinonimo,Trichanthecium schwackeanum (Mez) Zuloaga & Morrone,sinonimo,Panicum schwackeanum Mez,diferente
Panicum laxum Sw.,sinonimo,Steinchisma laxum (Sw.) Zuloaga,Não resolvido,Panicum laxum Sw.,diferente
Panicum maximum Jacq.,sinonimo,Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs,,Panicum maximum Jacq.,diferente
Panicum mertensii Roth,sinonimo,Stephostachys mertensii (Roth) Zuloaga & Morrone,,Panicum mertensii Roth,diferente
Panicum milleflorum Hitchc. And Chase,nao_encontrato,,sinonimo,Panicum pilosum Sw.,
Panicum parvifolium Lam. ,sinonimo,Trichanthecium parvifolium (Lam.) Zuloaga & Morrone,,Panicum parvifolium Lam.,diferente
Panicum pernambuncense (Spreng.) Mez ex Pilg.,nao_encontrado,,nao_encontrado,,
Panicum prionitis Nees,sinonimo,Coleataenia prionitis (Nees) Soreng,,Panicum prionitis Nees,diferente
Panicum repens L.,,Panicum repens L.,,Panicum repens L.,
Panicum rivulare Trin.,sinonimo,Hymenachne pernambucensis (Spreng.) Zuloaga,sinonimo,Hymenachne pernambucensis (Spreng.) Zuloaga,
Panicum sabulorum Lam.,sinonimo,Dichanthelium sabulorum (Lam.) Gould & C.A. Clark,,Panicum sabulorum Lam.,diferente
Panicum schwackeanum Mez. ,sinonimo,Trichanthecium schwackeanum (Mez) Zuloaga & Morrone,,Panicum schwackeanum Mez,diferente
Paratheria prostrata Griseb.,,Paratheria prostrata Griseb.,,Paratheria prostrata Griseb.,
Pariana campestris Aubl. ,,Pariana campestris Aubl.,,Pariana campestris Aubl.,
Paspalidium paludivagum (Hitchc.& Chase) Parodi,sinonimo,Paspalidium geminatum (Forssk.) Stapf,,Paspalidium paludivagum (Hitchc. & Chase) Parodi,diferente
Paspalidium geminatum (Forssk.) Stapf ,,Paspalidium geminatum (Forssk.) Stapf,,Paspalidium geminatum (Forssk.) Stapf,
Paspalum acuminatum Raddi,,Paspalum acuminatum Raddi,,Paspalum acuminatum Raddi,
Paspalum boscianum Flüggé ,,Paspalum boscianum Flüggé,sinonimo,Paspalum scrobiculatum L.,diferente
Paspalum conjugatum P.J. Bergius,,Paspalum conjugatum P.J.Bergius,,Paspalum conjugatum P.J.Bergius,
Paspalum conspersum Schrad.,,Paspalum conspersum Schrad.,,Paspalum conspersum Schrad.,
Paspalum coryphaeum Trin. ,,Paspalum coryphaeum Trin.,,Paspalum coryphaeum Trin.,
Paspalum densum Poir. ,,Paspalum densum Poir.,,Paspalum densum Poir.,
Paspalum denticulatum Trin. ,,Paspalum denticulatum Trin.,,Paspalum denticulatum Trin.,
Paspalum distichum L.,,Paspalum distichum L.,,Paspalum distichum L.,
Paspalum fasciculatum Willd. ex Flüggé ,,Paspalum fasciculatum Willd. ex Flüggé,,Paspalum fasciculatum Willd. ex Flüggé,
Paspalum glaucescens Hack. ,,Paspalum glaucescens Hack.,,Paspalum glaucescens Hack.,
Paspalum hydrophyllum Henr.,nao_encontrado,,nao_encontrado,,
Paspalum ligulare Nees ,,Paspalum ligulare Nees,,Paspalum ligulare Nees,
Paspalum melanospermum Desv. ex Poir. ,,Paspalum melanospermum Desv. ex Poir.,,Paspalum melanospermum Desv. ex Poir.,
Paspalum millegrana Schrad. ex Schult. ,,Paspalum millegrana Schrad. ex Schult.,,Paspalum millegrana Schrad.,diferente
"Paspalum morichalense Davidse, Zuloaga & Filgueiras",,Paspalum morichalense Davidse et al.,,"Paspalum morichalense Davidse, Zuloaga & Filg.",diferente
Paspalum orbiculatum Poir. ,,Paspalum orbiculatum Poir.,,Paspalum orbiculatum Poir.,
Paspalum pulchellum Kunth ,,Paspalum pulchellum Kunth,,Paspalum pulchellum Kunth,
Paspalum pumilum Nees,,Paspalum pumilum Nees,,Paspalum pumilum Nees,
Paspalum repens P.J. Bergius,,Paspalum repens P.J.Bergius,,Paspalum repens P.J.Bergius,
Paspalum trichophyllum Henrard ,,Paspalum trichophyllum Henrard,,Paspalum trichophyllum Henrard,
Paspalum vaginatum Sw. ,,Paspalum vaginatum Sw.,,Paspalum vaginatum Sw.,
Paspalum virgatum L. ,,Paspalum virgatum L.,,Paspalum virgatum L.,
Paspalum wrightii Hitchc. & Chase ,,Paspalum wrightii Hitchc. & Chase,,Paspalum wrightii Hitchc. & Chase,
Pennisetum purpureum Schum ,sinonimo,Cenchrus purpureus (Schumach.) Morrone,,Pennisetum purpureum Schumach.,diferente
Poidium calotheca (Trin.) Matthei,sinonimo,"Chascolytrum calotheca (Trin.) Essi, Longhi-Wagner & Souza-Chies",sinonimo,Briza calotheca (Trin.) Hack.,diferente
Polypogon elongatus Kunth,,Polypogon elongatus Kunth,,Polypogon elongatus Kunth,
Raddiella esenbeckii (Steud.) Calderón & Soderstr. ,,Raddiella esenbeckii (Steud.) C.E.Calderón & Soderstr.,,Raddiella esenbeckii (Steud.) C.E.Calderón ex Soderstr.,diferente
Rhytachne rottboellioides Desv.,,Rhytachne rottboellioides Desv. ex Ham.,,Rhytachne rottboellioides Desv. ex Ham.,
Reimarochloa aberrans (Döll) Chase ,,Reimarochloa aberrans (Döll) Chase,,Reimarochloa aberrans (Döll) Chase,
Reimarochloa acuta (Flüggé) Hitchc. ,,Reimarochloa acuta (Flüggé) Hitchc.,,Reimarochloa acuta (Flüggé) Hitchc.,
Reimarochloa brasiliensis (Spreng.) Hitchc. ,,Reimarochloa brasiliensis (Spreng.) Hitchc.,sinonimo,Reimarochloa acuta (Flüggé) Hitchc.,diferente
Rugoloa hylaeica (Mez) Zuloaga ,,Rugoloa hylaeica (Mez) Zuloaga,nao_encontrado,,diferente
Rugoloa pilosa (Sw.) Zuloaga ,,Rugoloa pilosa (Sw.) Zuloaga,nao_encontrado,,diferente
Rugoloa polygonata (Schrad.) Zuloaga ,,Rugoloa polygonata (Schrad.) Zuloaga,nao_encontrado,,diferente
Sacciolepis striata (L.) Nash,,Sacciolepis striata (L.) Nash,,Sacciolepis striata (L.) Nash,
Sacciolepis vilvoides (Trin.) Chase ,,Sacciolepis vilvoides (Trin.) Chase,,Sacciolepis vilvoides (Trin.) Chase,
Sacciolepis myuros (Lam.) Chase ,,Sacciolepis myuros (Lam.) Chase,,Sacciolepis myuros (Lam.) Chase,
Spartina alterniflora Lois. Et Deslong.,,Spartina alterniflora Loisel.,,Spartina alterniflora Loisel.,
Spartina densiflora Brongn.,,Spartina densiflora Brongn.,,Spartina densiflora Brongn.,
Setaria pauciflora Linden ex Herrm,nao_encontrado,,,Setaria pauciflora Linden ex Herrm.,
Setaria parviflora (Poir.) Kerguélen,,Setaria parviflora (Poir.) Kerguélen,,Setaria parviflora (Poir.) M.Kerguelen,diferente
Sorghastrum setosum (Griseb.) Hitchc. ,,Sorghastrum setosum (Griseb.) Hitchc.,,Sorghastrum setosum (Griseb.) Hitchc.,
Sorghum bicolor (Desv.) de Wet & J.R.Harlan ,,Sorghum bicolor (L.) Moench,,Sorghum bicolor (L.) Moench,
Sporobolus virginicus (L.) Kunth ,,Sporobolus virginicus (L.) Kunth,,Sporobolus virginicus (L.) Kunth,
Sporobolus indicus (L.) R.Br.,,Sporobolus indicus (L.) R.Br.,,Sporobolus indicus (L.) R.Br.,
Steinchisma laxa (Sw.) Zuloaga,nao_encontrado,,nao_encontrado,,
Steinchisma laxum (Sw.) Zuloaga ,,Steinchisma laxum (Sw.) Zuloaga,,Steinchisma laxum (Sw.) Zuloaga,
Steinchisma decipiens (Nees ex Trin.) W.V.Br. ,,Steinchisma decipiens (Nees ex Trin.) W.V.Br.,,Steinchisma decipiens (Nees ex Trin.) W.V.Br.,
Stephostachys mertensii (Roth) Zuloaga & Morrone ,,Stephostachys mertensii (Roth) Zuloaga & Morrone,sinonimo,Panicum mertensii Roth,diferente
Trichanthecium cyanenscens (Nees ex Trin.) Zuloaga & Morrone,nao_encontrado,,nao_encontrado,,
Trichanthecium micranthum (Kunth) Zuloaga & Morrone ,,Trichanthecium micranthum (Kunth) Zuloaga & Morrone,nao_encontrado,,diferente
Trichanthecium nervosum (Lam.) Zuloaga & Morrone ,,Trichanthecium nervosum (Lam.) Zuloaga & Morrone,nao_encontrado,,diferente
Trichanthecium parvifolium (Lam.) Zuloaga & Morrone ,,Trichanthecium parvifolium (Lam.) Zuloaga & Morrone,sinonimo,Panicum parvifolium Lam.,diferente
Trichanthecium pyrularium (Hitchc. & Chase) Zuloaga & Morrone ,,Trichanthecium pyrularium (Hitchc. & Chase) Zuloaga & Morrone,sinonimo,Panicum pyrularium Hitchc. & Chase,diferente
Urochloa humidicola (Rendle) Morrone & Zuloaga ,,Urochloa humidicola (Rendle) Morrone & Zuloaga,sinonimo,Brachiaria humidicola (Rendle) Schweick.,diferente
Urochloa plantaginea (Link) R. D. Webster ,,Urochloa plantaginea (Link) R.D.Webster,sinonimo,Brachiaria plantaginea (Link) Hitchc.,diferente
Urochloa subquadripara (Trin.) R.D. Webster,,Urochloa subquadripara (Trin.) R.D.Webster,sinonimo,Brachiaria subquadripara (Trin.) Hitchc.,diferente
Zizaniopsis bonariensis (Bal. & Poit.) Speg.,,Zizaniopsis bonariensis (Balansa & Poitr.) Speg.,,Zizaniopsis bonariensis (Balansa & Poitr.) Speg.,
